,tweet,hate speech
0,"Transcriber: Victor Borges
Reviewer: David DeRuwe",0.021798078
1,"Wow,",0.22509529
2,what an audience.,0.22509529
3,"But if I'm being honest,
I don't care what you think of my talk.",0.097804196
4,I don't.,0.22509529
5,"I care what the internet
thinks of my talk.",0.22509529
6,(Laughter),0.11779238
7,"Because they are the ones
who get it seen and shared.",0.12334224
8,"And I think that's where
most people get it wrong.",0.12572944
9,"They're talking to you, here,",0.22509529
10,"instead of talking to you,
random person scrolling Facebook.",0.07652615
11,Thanks for the click.,0.09774088
12,"You see, back in 2009,",0.16286351
13,"we all had these weird little things
called attention spans.",0.22509529
14,(Laughter),0.14481296
15,"Yeah, they're gone. They're gone.
We killed them. They're dead.",0.13956113
16,"I'm trying to think of the last time
I watched an 18-minute TED talk.",0.15741043
17,"It's been years, literally years.",0.15966682
18,"So if you're giving
a TED talk, keep it quick.",0.098210566
19,I'm doing mine in under a minute.,0.10312232
20,I'm at 44 seconds right now;,0.217805
21,"that means we've got
time for one final joke.",0.22509529
22,Why are balloons so expensive?,0.22509529
23,"(Audience) ""Why?""",0.11819539
24,Woody Roseland: Inflation.,0.22509529
25,(Laughter),0.09431882
26,(Applause),0.18581536
